Survey,Name,Filepath,type,noise
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2397/KMTA20_I.pysis,exo,4
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2397/KMTS20_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2397/KMTC20_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1397/KMTA31_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1397/KMTS31_I.pysis,exo,1
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1397/KMTC31_I.pysis,exo,1
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1107/KMTC18_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1107/KMTA18_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1107/KMTS18_I.pysis,exo,1
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1105/KMTC18_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1105/KMTA18_I.pysis,exo,5
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1105/KMTS18_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2364/KMTC18_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2364/KMTA18_I.pysis,exo,5
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2364/KMTS18_I.pysis,exo,4
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-0212/KMTA42_I.pysis,exo,5
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-0212/KMTC02_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-0212/KMTS42_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-0212/KMTC42_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-0212/KMTS02_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-0212/KMTA02_I.pysis,exo,4
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2142/KMTA42_I.pysis,exo,5
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2142/KMTC02_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2142/KMTS42_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2142/KMTC42_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2142/KMTS02_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-2142/KMTA02_I.pysis,exo,5
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1820/KMTA42_I.pysis,exo,4
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1820/KMTC02_I.pysis,exo,1
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1820/KMTS42_I.pysis,exo,1
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1820/KMTC42_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1820/KMTS02_I.pysis,exo,4
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1820/KMTA02_I.pysis,exo,5
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1836/KMTA42_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1836/KMTC02_I.pysis,exo,1
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1836/KMTS42_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1836/KMTC42_I.pysis,exo,2
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1836/KMTS02_I.pysis,exo,3
KMT,KMT-KMT-2016,Exodata/LightCurves/KMT/2016/blg-1836/KMTA02_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1003/KMTC19_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1003/KMTA19_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1003/KMTS19_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1038/KMTC19_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1038/KMTA19_I.pysis,exo,5
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1038/KMTS19_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1194/KMTA31_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1194/KMTS31_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1194/KMTC31_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-2509/KMTC18_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-2509/KMTA18_I.pysis,exo,4
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-2509/KMTS18_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTA42_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTA43_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTS43_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTC02_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTS42_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTC03_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTS03_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTC42_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTS02_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTC43_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTA02_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0165/KMTA03_I.pysis,exo,4
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0428/KMTA43_I.pysis,exo,3
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0428/KMTS43_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0428/KMTC03_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0428/KMTS03_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0428/KMTC43_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0428/KMTA03_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1146/KMTS22_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1146/KMTA22_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-1146/KMTC22_I.pysis,exo,1
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0673/KMTC13_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0673/KMTS13_I.pysis,exo,2
KMT,KMT-KMT-2017,Exodata/LightCurves/KMT/2017/blg-0673/KMTA13_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-2602/KMTA20_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-2602/KMTS20_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-2602/KMTC20_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1990/KMTA38_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1990/KMTS38_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1990/KMTC38_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1996/KMTA38_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1996/KMTS38_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1996/KMTC38_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1743/KMTA31_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1743/KMTS31_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-1743/KMTC31_I.pysis,exo,1
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-0247/KMTS15_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-0247/KMTA15_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-0247/KMTC15_I.pysis,exo,3
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-0087/KMTS14_I.pysis,exo,5
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-0087/KMTS15_I.pysis,exo,2
KMT,KMT-KMT-2018,Exodata/LightCurves/KMT/2018/blg-0087/KMTA15_I.pysis,exo,2
